province,country,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region,Active_rate,Death_rate,reacovery_rate,new_cases
Northwest Territories,Canada,64.8255,-124.8457,22-01-2020,0,0,0,0,Americas,,,,0
Yukon,Canada,64.2823,-135,22-01-2020,0,0,0,0,Americas,,,,0
Unknown,Kosovo,42.602636,20.902977,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Burma,21.9162,95.956,22-01-2020,0,0,0,0,South-East Asia,,,,
Anguilla,United Kingdom,18.2206,-63.0686,22-01-2020,0,0,0,0,Europe,,,,0
British Virgin Islands,United Kingdom,18.4207,-64.64,22-01-2020,0,0,0,0,Europe,,,,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,Botswana,-22.3285,24.6849,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Burundi,-3.3731,29.9189,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Sierra Leone,8.460555,-11.779889,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Malawi,-13.2543,34.3015,22-01-2020,0,0,0,0,Africa,,,,
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,22-01-2020,0,0,0,0,Europe,,,,0
Saint Pierre and Miquelon,France,46.8852,-56.3159,22-01-2020,0,0,0,0,Europe,,,,0
Unknown,South Sudan,6.877,31.307,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Western Sahara,24.2155,-12.8858,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Sao Tome and Principe,0.1864,6.6131,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Yemen,15.552727,48.516388,22-01-2020,0,0,0,0,Eastern Mediterranean,,,,
Unknown,Comoros,-11.6455,43.3333,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Tajikistan,38.861,71.2761,22-01-2020,0,0,0,0,Europe,,,,
Unknown,Lesotho,-29.61,28.2336,22-01-2020,0,0,0,0,Africa,,,,
Unknown,Afghanistan,33.93911,67.709953,23-01-2020,0,0,0,0,Eastern Mediterranean,,,,0
Unknown,Albania,41.1533,20.1683,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Algeria,28.0339,1.6596,23-01-2020,0,0,0,0,Africa,,,,0
Unknown,Andorra,42.5063,1.5218,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Angola,-11.2027,17.8739,23-01-2020,0,0,0,0,Africa,,,,0
Unknown,Antigua and Barbuda,17.0608,-61.7964,23-01-2020,0,0,0,0,Americas,,,,0
Unknown,Argentina,-38.4161,-63.6167,23-01-2020,0,0,0,0,Americas,,,,0
Unknown,Armenia,40.0691,45.0382,23-01-2020,0,0,0,0,Europe,,,,0
Australian Capital Territory,Australia,-35.4735,149.0124,23-01-2020,0,0,0,0,Western Pacific,,,,0
New South Wales,Australia,-33.8688,151.2093,23-01-2020,0,0,0,0,Western Pacific,,,,0
Northern Territory,Australia,-12.4634,130.8456,23-01-2020,0,0,0,0,Western Pacific,,,,0
Queensland,Australia,-27.4698,153.0251,23-01-2020,0,0,0,0,Western Pacific,,,,0
South Australia,Australia,-34.9285,138.6007,23-01-2020,0,0,0,0,Western Pacific,,,,0
Tasmania,Australia,-42.8821,147.3272,23-01-2020,0,0,0,0,Western Pacific,,,,0
Victoria,Australia,-37.8136,144.9631,23-01-2020,0,0,0,0,Western Pacific,,,,0
Western Australia,Australia,-31.9505,115.8605,23-01-2020,0,0,0,0,Western Pacific,,,,0
Unknown,Austria,47.5162,14.5501,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Azerbaijan,40.1431,47.5769,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Bahamas,25.025885,-78.035889,23-01-2020,0,0,0,0,Americas,,,,0
Unknown,Bahrain,26.0275,50.55,23-01-2020,0,0,0,0,Eastern Mediterranean,,,,0
Unknown,Bangladesh,23.685,90.3563,23-01-2020,0,0,0,0,South-East Asia,,,,0
Unknown,Barbados,13.1939,-59.5432,23-01-2020,0,0,0,0,Americas,,,,0
Unknown,Belarus,53.7098,27.9534,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Belgium,50.8333,4.469936,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Benin,9.3077,2.3158,23-01-2020,0,0,0,0,Africa,,,,0
Unknown,Bhutan,27.5142,90.4336,23-01-2020,0,0,0,0,South-East Asia,,,,0
Unknown,Bolivia,-16.2902,-63.5887,23-01-2020,0,0,0,0,Americas,,,,0
Unknown,Bosnia and Herzegovina,43.9159,17.6791,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Brazil,-14.235,-51.9253,23-01-2020,0,0,0,0,Americas,,,,0
Unknown,Brunei,4.5353,114.7277,23-01-2020,0,0,0,0,Western Pacific,,,,0
Unknown,Bulgaria,42.7339,25.4858,23-01-2020,0,0,0,0,Europe,,,,0
Unknown,Burkina Faso,12.2383,-1.5616,23-01-2020,0,0,0,0,Africa,,,,0
Unknown,Cabo Verde,16.5388,-23.0418,23-01-2020,0,0,0,0,Africa,,,,0
Unknown,Cambodia,11.55,104.9167,23-01-2020,0,0,0,0,Western Pacific,,,,0
Unknown,Cameroon,3.848,11.5021,23-01-2020,0,0,0,0,Africa,,,,0
Alberta,Canada,53.9333,-116.5765,23-01-2020,0,0,0,0,Americas,,,,0
British Columbia,Canada,53.7267,-127.6476,23-01-2020,0,0,0,0,Americas,,,,0
